Model,CPU,RAM,Memory,Camera,Battery,Weight,Price
iPhone 15 Pro Max,3.78,8,512,48,4422,221,1399
iPhone 15 Pro,3.78,8,512,48,3274,187,1299
iPhone 15,3.5,6,512,48,3349,171,1099
iPhone SE the 3rd,3.2,4,256,12,2018,144,579
Samsung S24 Ultra,3.39,12,256,200,5000,232,1660
Samsung S24+,3.2,12,256,50,4900,196,1300
Samsung S24,3.2,8,256,50,4000,167,1030
Samsung S23 FE,2.8,8,256,50,4500,209,860
Pixel 8 Pro,3,12,128,50,5050,213,749
Pixel 8,3,8,128,50,4575,187,499
Pixel 7,2.85,8,128,50,4355,197,269
Oneplus 11 5G,3.19,8,128,50,5000,205,699
Vivo X80 Pro,3,8,256,50,4700,215,900
Xiaomi 12 Pro,3,8,128,50,4600,204,510
Samsung Galaxy S22 Ultra,2.8,8,128,108,5000,228,462
